馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連単,5 → 10 → 8,33999,5,2413580
三連複,6 - 15 - 18,3178,1,2391920
三連単,14 → 1 → 13,24753,1,2391130
三連単,15 → 7 → 5,21082,1,2380370
三連単,6 → 7 → 10,34003,5,2379170
三連単,14 → 8 → 7,24761,2,2338590
三連単,2 → 15 → 10,21079,1,2321530
三連単,8 → 11 → 10,32453,5,2320190
三連単,16 → 2 → 1,16435,5,2280220
三連単,15 → 3 → 4,21087,2,2275580
三連単,2 → 13 → 6,27766,8,2265340
三連単,2 → 14 → 16,16411,1,2259190
三連単,12 → 14 → 7,24755,1,2244480
三連単,12 → 14 → 13,24737,1,2238380
三連単,10 → 11 → 14,24758,2,2193460
三連単,2 → 18 → 9,3100,1,2188210
三連単,11 → 5 → 7,32468,5,2162890
三連単,11 → 7 → 6,32465,4,2146360
三連単,15 → 3 → 13,21069,1,2139820
三連単,15 → 11 → 2,21078,1,2138600
三連単,3 → 8 → 16,16431,2,2118290
三連単,11 → 7 → 4,32470,5,2109150
三連単,9 → 6 → 14,24762,3,2105730
三連単,11 → 4 → 5,32471,10,2103500
三連単,5 → 15 → 6,21081,2,2087890
三連単,9 → 8 → 14,24757,1,2086650
三連単,8 → 14 → 7,24761,2,2081010
三連単,3 → 10 → 8,34002,7,2073010
三連単,15 → 5 → 1,21085,3,2051970
三連単,14 → 9 → 2,24766,1,2015300
三連単,5 → 3 → 17,3827,3,1972540
三連単,13 → 8 → 6,27756,2,1967470
三連単,10 → 9 → 4,34002,6,1953620
三連単,1 → 14 → 17,3816,1,1949500
三連単,14 → 6 → 3,24770,2,1944520
三連単,2 → 14 → 6,24769,7,1944130
三連単,5 → 11 → 3,32472,12,1936950
三連単,8 → 13 → 9,27752,2,1934940
三連単,3 → 14 → 13,24753,1,1913740
三連単,4 → 9 → 14,24766,2,1911330
三連単,8 → 11 → 14,24756,1,1908620
三連単,6 → 9 → 8,35047,9,1891890
三連単,12 → 5 → 4,30507,6,1890780
三連単,17 → 4 → 3,3827,1,1878220
三連単,11 → 4 → 13,27757,2,1837590
三連単,2 → 4 → 14,24773,12,1833340
三連単,14 → 7 → 2,24770,2,1832260
三連単,6 → 13 → 8,27756,2,1815620
三連単,3 → 14 → 7,24771,4,1813210
三連単,4 → 15 → 8,21079,2,1801470
三連単,3 → 13 → 2,27771,9,1786320
三連単,14 → 10 → 3,24767,1,1775290
三連単,1 → 11 → 7,32471,24,1749760
三連単,12 → 7 → 8,30496,2,1738320
三連単,1 → 9 → 15,21082,5,1732520
三連単,12 → 9 → 14,24751,1,1726600
三連単,7 → 9 → 14,24763,2,1717760
三連単,12 → 5 → 7,30504,5,1689750
三連単,2 → 13 → 11,27757,7,1680450
三連単,11 → 10 → 7,32460,3,1678830
三連単,4 → 15 → 2,21086,4,1674100
三連単,3 → 10 → 4,34012,17,1672620
三連単,4 → 13 → 7,27767,4,1666330
三連単,14 → 3 → 11,24766,1,1655390
三連単,11 → 2 → 16,16430,1,1652160
三連単,11 → 9 → 1,32465,4,1639920
三連単,2 → 15 → 12,21072,1,1630270
三連単,6 → 11 → 2,32468,11,1615970
三連単,6 → 3 → 15,21083,5,1614120
三連単,2 → 8 → 15,21078,3,1612570
三連単,12 → 16 → 8,16419,1,1603530
三連単,11 → 3 → 14,24766,1,1601350
三連単,13 → 17 → 7,3821,1,1600900
三連単,1 → 14 → 10,24767,5,1583420
三連単,11 → 10 → 9,32454,3,1546090
三連単,11 → 10 → 6,32458,3,1519610
三連単,10 → 7 → 12,30496,2,1516670
三連単,3 → 13 → 8,27761,2,1509180
三連単,11 → 4 → 12,30496,2,1508870
三連単,13 → 11 → 3,27758,1,1508870
三連単,4 → 9 → 12,30500,4,1506040
三連単,12 → 6 → 4,30504,4,1490640
三連単,10 → 18 → 3,3099,1,1483530
三連単,2 → 11 → 16,16430,2,1481080
三連単,5 → 14 → 4,24772,2,1462040
三連単,4 → 14 → 5,24772,4,1457120
