馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連単,18 → 6 → 10,3099,0,-309900
三連単,18 → 6 → 11,3099,0,-309900
三連単,18 → 7 → 1,3099,0,-309900
三連単,18 → 7 → 2,3099,0,-309900
三連単,18 → 7 → 3,3099,0,-309900
三連単,18 → 7 → 4,3099,0,-309900
三連単,18 → 7 → 5,3099,0,-309900
三連単,18 → 7 → 6,3099,0,-309900
三連単,18 → 7 → 8,3099,0,-309900
三連単,18 → 7 → 9,3099,0,-309900
三連単,18 → 8 → 7,3099,0,-309900
三連単,18 → 8 → 10,3099,0,-309900
三連単,18 → 8 → 11,3099,0,-309900
三連単,18 → 9 → 7,3099,0,-309900
三連単,18 → 9 → 10,3099,0,-309900
三連単,18 → 9 → 11,3099,0,-309900
三連単,18 → 10 → 1,3099,0,-309900
三連単,18 → 10 → 2,3099,0,-309900
三連単,18 → 10 → 3,3099,0,-309900
三連単,18 → 10 → 4,3099,0,-309900
三連単,18 → 10 → 5,3099,0,-309900
三連単,18 → 10 → 6,3099,0,-309900
三連単,18 → 10 → 8,3099,0,-309900
三連単,18 → 10 → 9,3099,0,-309900
三連単,18 → 11 → 1,3099,0,-309900
三連単,18 → 11 → 2,3099,0,-309900
三連単,18 → 11 → 3,3099,0,-309900
三連単,18 → 11 → 4,3099,0,-309900
三連単,18 → 11 → 5,3099,0,-309900
三連単,18 → 11 → 6,3099,0,-309900
三連単,18 → 11 → 8,3099,0,-309900
三連単,18 → 11 → 9,3099,0,-309900
ワイド,13 - 17,3927,3,-309950
三連単,1 → 4 → 18,3100,0,-310000
三連単,1 → 5 → 18,3100,0,-310000
三連単,1 → 6 → 18,3100,0,-310000
三連単,1 → 9 → 18,3100,0,-310000
三連単,1 → 18 → 2,3100,0,-310000
三連単,1 → 18 → 3,3100,0,-310000
三連単,1 → 18 → 5,3100,0,-310000
三連単,1 → 18 → 6,3100,0,-310000
三連単,1 → 18 → 8,3100,0,-310000
三連単,1 → 18 → 9,3100,0,-310000
三連単,2 → 1 → 18,3100,0,-310000
三連単,2 → 5 → 18,3100,0,-310000
三連単,2 → 6 → 18,3100,0,-310000
三連単,2 → 8 → 18,3100,0,-310000
三連単,2 → 9 → 18,3100,0,-310000
三連単,2 → 18 → 1,3100,0,-310000
三連単,2 → 18 → 3,3100,0,-310000
三連単,2 → 18 → 4,3100,0,-310000
三連単,2 → 18 → 5,3100,0,-310000
三連単,2 → 18 → 6,3100,0,-310000
三連単,2 → 18 → 8,3100,0,-310000
三連単,3 → 1 → 18,3100,0,-310000
三連単,3 → 2 → 18,3100,0,-310000
三連単,3 → 4 → 18,3100,0,-310000
三連単,3 → 5 → 18,3100,0,-310000
三連単,3 → 8 → 18,3100,0,-310000
三連単,3 → 9 → 18,3100,0,-310000
三連単,3 → 18 → 1,3100,0,-310000
三連単,3 → 18 → 2,3100,0,-310000
三連単,3 → 18 → 4,3100,0,-310000
三連単,3 → 18 → 5,3100,0,-310000
三連単,3 → 18 → 6,3100,0,-310000
三連単,3 → 18 → 8,3100,0,-310000
三連単,3 → 18 → 9,3100,0,-310000
三連単,4 → 1 → 18,3100,0,-310000
三連単,4 → 3 → 18,3100,0,-310000
三連単,4 → 5 → 18,3100,0,-310000
三連単,4 → 6 → 18,3100,0,-310000
三連単,4 → 8 → 18,3100,0,-310000
三連単,4 → 9 → 18,3100,0,-310000
三連単,4 → 18 → 1,3100,0,-310000
三連単,4 → 18 → 2,3100,0,-310000
三連単,4 → 18 → 3,3100,0,-310000
三連単,4 → 18 → 5,3100,0,-310000
三連単,4 → 18 → 6,3100,0,-310000
三連単,4 → 18 → 8,3100,0,-310000
三連単,4 → 18 → 9,3100,0,-310000
三連単,5 → 3 → 18,3100,0,-310000
三連単,5 → 4 → 18,3100,0,-310000
三連単,5 → 6 → 18,3100,0,-310000
三連単,5 → 8 → 18,3100,0,-310000
三連単,5 → 9 → 18,3100,0,-310000
三連単,5 → 18 → 1,3100,0,-310000
三連単,5 → 18 → 2,3100,0,-310000
三連単,5 → 18 → 3,3100,0,-310000
三連単,5 → 18 → 4,3100,0,-310000
三連単,5 → 18 → 6,3100,0,-310000
三連単,5 → 18 → 8,3100,0,-310000
三連単,5 → 18 → 9,3100,0,-310000
三連単,6 → 1 → 18,3100,0,-310000
三連単,6 → 2 → 18,3100,0,-310000
三連単,6 → 3 → 18,3100,0,-310000
三連単,6 → 4 → 18,3100,0,-310000
三連単,6 → 5 → 18,3100,0,-310000
三連単,6 → 8 → 18,3100,0,-310000
三連単,6 → 9 → 18,3100,0,-310000
三連単,6 → 18 → 1,3100,0,-310000
三連単,6 → 18 → 2,3100,0,-310000
三連単,6 → 18 → 3,3100,0,-310000
三連単,6 → 18 → 4,3100,0,-310000
三連単,6 → 18 → 5,3100,0,-310000
三連単,6 → 18 → 9,3100,0,-310000
三連単,8 → 1 → 18,3100,0,-310000
三連単,8 → 2 → 18,3100,0,-310000
三連単,8 → 3 → 18,3100,0,-310000
三連単,8 → 4 → 18,3100,0,-310000
三連単,8 → 5 → 18,3100,0,-310000
三連単,8 → 6 → 18,3100,0,-310000
三連単,8 → 9 → 18,3100,0,-310000
三連単,8 → 18 → 1,3100,0,-310000
三連単,8 → 18 → 2,3100,0,-310000
三連単,8 → 18 → 3,3100,0,-310000
三連単,8 → 18 → 4,3100,0,-310000
三連単,8 → 18 → 5,3100,0,-310000
三連単,8 → 18 → 6,3100,0,-310000
三連単,8 → 18 → 9,3100,0,-310000
三連単,9 → 1 → 18,3100,0,-310000
三連単,9 → 2 → 18,3100,0,-310000
三連単,9 → 4 → 18,3100,0,-310000
三連単,9 → 5 → 18,3100,0,-310000
三連単,9 → 6 → 18,3100,0,-310000
三連単,9 → 8 → 18,3100,0,-310000
三連単,9 → 18 → 1,3100,0,-310000
三連単,9 → 18 → 2,3100,0,-310000
三連単,9 → 18 → 3,3100,0,-310000
三連単,9 → 18 → 4,3100,0,-310000
三連単,9 → 18 → 5,3100,0,-310000
三連単,9 → 18 → 6,3100,0,-310000
三連単,18 → 1 → 2,3100,0,-310000
三連単,18 → 1 → 3,3100,0,-310000
三連単,18 → 1 → 4,3100,0,-310000
三連単,18 → 1 → 5,3100,0,-310000
三連単,18 → 1 → 6,3100,0,-310000
三連単,18 → 1 → 8,3100,0,-310000
三連単,18 → 1 → 9,3100,0,-310000
三連単,18 → 2 → 1,3100,0,-310000
三連単,18 → 2 → 3,3100,0,-310000
三連単,18 → 2 → 4,3100,0,-310000
三連単,18 → 2 → 5,3100,0,-310000
三連単,18 → 2 → 6,3100,0,-310000
三連単,18 → 2 → 8,3100,0,-310000
三連単,18 → 2 → 9,3100,0,-310000
三連単,18 → 3 → 1,3100,0,-310000
三連単,18 → 3 → 2,3100,0,-310000
三連単,18 → 3 → 4,3100,0,-310000
三連単,18 → 3 → 5,3100,0,-310000
三連単,18 → 3 → 6,3100,0,-310000
三連単,18 → 3 → 8,3100,0,-310000
三連単,18 → 3 → 9,3100,0,-310000
三連単,18 → 4 → 1,3100,0,-310000
三連単,18 → 4 → 2,3100,0,-310000
三連単,18 → 4 → 3,3100,0,-310000
三連単,18 → 4 → 5,3100,0,-310000
三連単,18 → 4 → 6,3100,0,-310000
三連単,18 → 4 → 8,3100,0,-310000
三連単,18 → 4 → 9,3100,0,-310000
三連単,18 → 5 → 2,3100,0,-310000
三連単,18 → 5 → 3,3100,0,-310000
三連単,18 → 5 → 4,3100,0,-310000
三連単,18 → 5 → 6,3100,0,-310000
三連単,18 → 5 → 8,3100,0,-310000
三連単,18 → 5 → 9,3100,0,-310000
三連単,18 → 6 → 1,3100,0,-310000
三連単,18 → 6 → 2,3100,0,-310000
三連単,18 → 6 → 3,3100,0,-310000
三連単,18 → 6 → 4,3100,0,-310000
三連単,18 → 6 → 5,3100,0,-310000
三連単,18 → 6 → 8,3100,0,-310000
三連単,18 → 6 → 9,3100,0,-310000
三連単,18 → 8 → 1,3100,0,-310000
三連単,18 → 8 → 2,3100,0,-310000
三連単,18 → 8 → 3,3100,0,-310000
三連単,18 → 8 → 4,3100,0,-310000
三連単,18 → 8 → 5,3100,0,-310000
三連単,18 → 8 → 6,3100,0,-310000
三連単,18 → 8 → 9,3100,0,-310000
三連単,18 → 9 → 1,3100,0,-310000
三連単,18 → 9 → 2,3100,0,-310000
三連単,18 → 9 → 3,3100,0,-310000
三連単,18 → 9 → 4,3100,0,-310000
三連単,18 → 9 → 5,3100,0,-310000
三連単,18 → 9 → 6,3100,0,-310000
三連単,18 → 9 → 8,3100,0,-310000
三連単,4 → 2 → 13,27770,8,-311300
馬単,17 → 1,3933,1,-314030
馬連,2 - 17,3933,2,-316410
三連複,14 - 16 - 18,3171,0,-317100
三連複,14 - 17 - 18,3171,0,-317100
三連複,12 - 14 - 18,3172,0,-317200
三連複,13 - 14 - 18,3172,0,-317200
三連複,14 - 15 - 18,3172,0,-317200
三連複,15 - 16 - 18,3172,0,-317200
三連複,15 - 17 - 18,3172,0,-317200
三連複,16 - 17 - 18,3172,0,-317200
三連複,12 - 15 - 18,3173,0,-317300
三連複,12 - 16 - 18,3173,0,-317300
三連複,12 - 17 - 18,3173,0,-317300
三連複,13 - 15 - 18,3173,0,-317300
三連複,13 - 16 - 18,3173,0,-317300
三連複,13 - 17 - 18,3173,0,-317300
三連複,12 - 13 - 18,3174,0,-317400
三連複,7 - 14 - 18,3176,0,-317600
三連複,10 - 14 - 18,3176,0,-317600
三連複,11 - 14 - 18,3176,0,-317600
馬連,14 - 18,3177,0,-317700
ワイド,14 - 18,3177,0,-317700
馬単,14 → 18,3177,0,-317700
馬単,18 → 14,3177,0,-317700
三連複,1 - 14 - 18,3177,0,-317700
三連複,2 - 14 - 18,3177,0,-317700
三連複,3 - 14 - 18,3177,0,-317700
三連複,4 - 14 - 18,3177,0,-317700
三連複,5 - 14 - 18,3177,0,-317700
三連複,6 - 14 - 18,3177,0,-317700
三連複,7 - 15 - 18,3177,0,-317700
三連複,7 - 16 - 18,3177,0,-317700
三連複,7 - 17 - 18,3177,0,-317700
三連複,8 - 14 - 18,3177,0,-317700
三連複,9 - 14 - 18,3177,0,-317700
三連複,10 - 15 - 18,3177,0,-317700
三連複,10 - 16 - 18,3177,0,-317700
三連複,10 - 17 - 18,3177,0,-317700
三連複,11 - 15 - 18,3177,0,-317700
三連複,11 - 16 - 18,3177,0,-317700
三連複,11 - 17 - 18,3177,0,-317700
馬連,15 - 18,3178,0,-317800
馬連,16 - 18,3178,0,-317800
ワイド,16 - 18,3178,0,-317800
馬連,17 - 18,3178,0,-317800
ワイド,17 - 18,3178,0,-317800
馬単,15 → 18,3178,0,-317800
馬単,16 → 18,3178,0,-317800
馬単,17 → 18,3178,0,-317800
馬単,18 → 15,3178,0,-317800
馬単,18 → 16,3178,0,-317800
馬単,18 → 17,3178,0,-317800
三連複,1 - 15 - 18,3178,0,-317800
三連複,1 - 16 - 18,3178,0,-317800
三連複,1 - 17 - 18,3178,0,-317800
三連複,2 - 15 - 18,3178,0,-317800
三連複,2 - 16 - 18,3178,0,-317800
三連複,2 - 17 - 18,3178,0,-317800
三連複,3 - 15 - 18,3178,0,-317800
三連複,3 - 16 - 18,3178,0,-317800
三連複,3 - 17 - 18,3178,0,-317800
三連複,4 - 15 - 18,3178,0,-317800
三連複,4 - 16 - 18,3178,0,-317800
三連複,4 - 17 - 18,3178,0,-317800
三連複,5 - 15 - 18,3178,0,-317800
三連複,5 - 16 - 18,3178,0,-317800
三連複,5 - 17 - 18,3178,0,-317800
三連複,6 - 16 - 18,3178,0,-317800
三連複,6 - 17 - 18,3178,0,-317800
三連複,7 - 12 - 18,3178,0,-317800
三連複,7 - 13 - 18,3178,0,-317800
三連複,8 - 15 - 18,3178,0,-317800
三連複,8 - 16 - 18,3178,0,-317800
三連複,8 - 17 - 18,3178,0,-317800
三連複,9 - 15 - 18,3178,0,-317800
三連複,9 - 16 - 18,3178,0,-317800
三連複,9 - 17 - 18,3178,0,-317800
三連複,10 - 12 - 18,3178,0,-317800
三連複,10 - 13 - 18,3178,0,-317800
三連複,11 - 13 - 18,3178,0,-317800
三連単,12 → 2 → 11,30496,4,-317820
馬連,12 - 18,3179,0,-317900
馬連,13 - 18,3179,0,-317900
ワイド,13 - 18,3179,0,-317900
馬単,12 → 18,3179,0,-317900
馬単,13 → 18,3179,0,-317900
馬単,18 → 12,3179,0,-317900
馬単,18 → 13,3179,0,-317900
三連複,1 - 12 - 18,3179,0,-317900
三連複,1 - 13 - 18,3179,0,-317900
三連複,2 - 12 - 18,3179,0,-317900
三連複,2 - 13 - 18,3179,0,-317900
三連複,3 - 12 - 18,3179,0,-317900
三連複,3 - 13 - 18,3179,0,-317900
三連複,4 - 12 - 18,3179,0,-317900
三連複,4 - 13 - 18,3179,0,-317900
三連複,5 - 13 - 18,3179,0,-317900
三連複,6 - 12 - 18,3179,0,-317900
三連複,6 - 13 - 18,3179,0,-317900
三連複,8 - 12 - 18,3179,0,-317900
三連複,8 - 13 - 18,3179,0,-317900
三連複,9 - 12 - 18,3179,0,-317900
三連複,9 - 13 - 18,3179,0,-317900
三連複,7 - 10 - 18,3182,0,-318200
三連複,7 - 11 - 18,3182,0,-318200
三連複,10 - 11 - 18,3182,0,-318200
三連単,4 → 6 → 8,35653,17,-318250
馬連,7 - 18,3183,0,-318300
馬単,7 → 18,3183,0,-318300
馬単,18 → 7,3183,0,-318300
馬単,18 → 10,3183,0,-318300
馬単,18 → 11,3183,0,-318300
三連複,1 - 10 - 18,3183,0,-318300
三連複,1 - 11 - 18,3183,0,-318300
三連複,2 - 7 - 18,3183,0,-318300
三連複,2 - 10 - 18,3183,0,-318300
三連複,2 - 11 - 18,3183,0,-318300
三連複,3 - 11 - 18,3183,0,-318300
三連複,4 - 7 - 18,3183,0,-318300
三連複,4 - 11 - 18,3183,0,-318300
三連複,5 - 7 - 18,3183,0,-318300
三連複,5 - 10 - 18,3183,0,-318300
三連複,6 - 7 - 18,3183,0,-318300
三連複,6 - 10 - 18,3183,0,-318300
三連複,6 - 11 - 18,3183,0,-318300
三連複,7 - 8 - 18,3183,0,-318300
三連複,7 - 9 - 18,3183,0,-318300
三連複,8 - 10 - 18,3183,0,-318300
三連複,8 - 11 - 18,3183,0,-318300
三連複,9 - 10 - 18,3183,0,-318300
三連複,9 - 11 - 18,3183,0,-318300
馬連,8 - 18,3184,0,-318400
馬単,5 → 18,3184,0,-318400
馬単,8 → 18,3184,0,-318400
馬単,18 → 1,3184,0,-318400
馬単,18 → 2,3184,0,-318400
馬単,18 → 3,3184,0,-318400
馬単,18 → 4,3184,0,-318400
馬単,18 → 6,3184,0,-318400
馬単,18 → 8,3184,0,-318400
馬単,18 → 9,3184,0,-318400
三連複,1 - 6 - 18,3184,0,-318400
三連複,1 - 9 - 18,3184,0,-318400
三連複,2 - 6 - 18,3184,0,-318400
三連複,2 - 8 - 18,3184,0,-318400
三連複,3 - 4 - 18,3184,0,-318400
三連複,3 - 5 - 18,3184,0,-318400
三連複,3 - 8 - 18,3184,0,-318400
三連複,4 - 5 - 18,3184,0,-318400
三連複,4 - 6 - 18,3184,0,-318400
三連複,4 - 8 - 18,3184,0,-318400
三連複,4 - 9 - 18,3184,0,-318400
三連複,5 - 6 - 18,3184,0,-318400
三連複,5 - 8 - 18,3184,0,-318400
三連複,5 - 9 - 18,3184,0,-318400
三連複,6 - 9 - 18,3184,0,-318400
ワイド,6 - 17,3933,3,-319790
三連複,2 - 10 - 13,28753,11,-320890
三連単,1 → 16 → 5,16435,2,-322540
三連単,10 → 9 → 12,30490,2,-323810
三連単,6 → 8 → 15,21075,1,-324010
三連単,13 → 5 → 3,27769,4,-325220
三連単,2 → 4 → 10,34011,35,-327020
三連単,6 → 3 → 4,35958,40,-329090
三連複,3 - 10 - 14,25672,8,-329810
三連単,6 → 4 → 16,16432,1,-330490
三連単,2 → 9 → 3,35063,36,-331540
三連複,8 - 10 - 13,28743,5,-335260
ワイド,10 - 17,3932,2,-335590
三連単,5 → 13 → 14,24751,1,-335600
三連単,1 → 10 → 3,34013,49,-337940
三連単,1 → 14 → 11,24766,4,-338040
三連単,16 → 1 → 8,16431,1,-338700
三連単,13 → 3 → 5,27769,2,-339180
三連複,3 - 7 - 14,25678,17,-340980
三連単,8 → 6 → 5,35651,10,-341750
三連単,12 → 5 → 3,30508,5,-344530
三連単,5 → 2 → 3,35977,98,-345390
三連単,9 → 6 → 4,35057,9,-345780
三連単,8 → 2 → 1,35659,53,-347400
三連単,1 → 16 → 11,16431,1,-347990
三連単,16 → 4 → 5,16435,1,-348640
三連単,4 → 3 → 2,35980,127,-351430
三連単,6 → 10 → 4,34006,5,-352670
三連単,16 → 8 → 1,16431,1,-352810
三連複,1 - 10 - 14,25672,15,-353090
三連単,7 → 5 → 2,35884,25,-354170
三連単,9 → 4 → 6,35057,9,-354590
三連複,7 - 8 - 16,17021,1,-358000
三連複,1 - 3 - 17,3933,1,-358130
三連単,1 → 13 → 3,27772,15,-358140
ワイド,12 - 17,3926,1,-362760
三連単,7 → 10 → 5,34006,4,-365660
三連単,9 → 5 → 7,35057,6,-368630
三連単,2 → 4 → 16,16435,2,-370220
三連単,5 → 1 → 8,35657,47,-371500
三連単,1 → 16 → 10,16429,2,-371900
三連単,1 → 9 → 3,35064,71,-373740
三連単,1 → 4 → 10,34012,65,-373890
三連複,2 - 4 - 15,21854,17,-374110
三連単,8 → 7 → 3,35655,7,-377310
三連単,5 → 6 → 13,27764,3,-378380
三連単,14 → 16 → 17,3809,0,-380900
三連単,14 → 17 → 16,3809,0,-380900
三連単,16 → 14 → 17,3809,0,-380900
三連単,16 → 17 → 14,3809,0,-380900
三連単,17 → 14 → 16,3809,0,-380900
三連単,17 → 16 → 14,3809,0,-380900
三連単,12 → 14 → 17,3810,0,-381000
三連単,12 → 17 → 14,3810,0,-381000
三連単,14 → 12 → 17,3810,0,-381000
三連単,14 → 17 → 12,3810,0,-381000
三連単,17 → 12 → 14,3810,0,-381000
三連単,17 → 14 → 12,3810,0,-381000
三連単,13 → 14 → 17,3811,0,-381100
三連単,13 → 17 → 14,3811,0,-381100
三連単,14 → 13 → 17,3811,0,-381100
三連単,14 → 15 → 17,3811,0,-381100
三連単,14 → 17 → 13,3811,0,-381100
三連単,14 → 17 → 15,3811,0,-381100
三連単,15 → 14 → 17,3811,0,-381100
三連単,15 → 17 → 14,3811,0,-381100
三連単,17 → 13 → 14,3811,0,-381100
三連単,17 → 14 → 13,3811,0,-381100
三連単,17 → 14 → 15,3811,0,-381100
三連単,17 → 15 → 14,3811,0,-381100
三連単,12 → 16 → 17,3814,0,-381400
三連単,12 → 17 → 16,3814,0,-381400
三連単,15 → 16 → 17,3814,0,-381400
三連単,15 → 17 → 16,3814,0,-381400
三連単,16 → 12 → 17,3814,0,-381400
三連単,16 → 15 → 17,3814,0,-381400
三連単,16 → 17 → 12,3814,0,-381400
三連単,16 → 17 → 15,3814,0,-381400
三連単,17 → 12 → 16,3814,0,-381400
三連単,17 → 15 → 16,3814,0,-381400
三連単,17 → 16 → 12,3814,0,-381400
三連単,17 → 16 → 15,3814,0,-381400
三連単,7 → 14 → 17,3815,0,-381500
三連単,7 → 17 → 14,3815,0,-381500
三連単,9 → 14 → 17,3815,0,-381500
三連単,9 → 17 → 14,3815,0,-381500
三連単,10 → 14 → 17,3815,0,-381500
三連単,10 → 17 → 14,3815,0,-381500
三連単,11 → 14 → 17,3815,0,-381500
三連単,11 → 17 → 14,3815,0,-381500
三連単,12 → 15 → 17,3815,0,-381500
三連単,12 → 17 → 15,3815,0,-381500
三連単,13 → 16 → 17,3815,0,-381500
三連単,13 → 17 → 16,3815,0,-381500
三連単,14 → 7 → 17,3815,0,-381500
三連単,14 → 9 → 17,3815,0,-381500
三連単,14 → 10 → 17,3815,0,-381500
三連単,14 → 11 → 17,3815,0,-381500
三連単,14 → 17 → 7,3815,0,-381500
三連単,14 → 17 → 9,3815,0,-381500
三連単,14 → 17 → 10,3815,0,-381500
三連単,14 → 17 → 11,3815,0,-381500
三連単,15 → 12 → 17,3815,0,-381500
三連単,15 → 17 → 12,3815,0,-381500
三連単,16 → 13 → 17,3815,0,-381500
三連単,16 → 17 → 13,3815,0,-381500
三連単,17 → 7 → 14,3815,0,-381500
三連単,17 → 9 → 14,3815,0,-381500
三連単,17 → 10 → 14,3815,0,-381500
三連単,17 → 11 → 14,3815,0,-381500
三連単,17 → 12 → 15,3815,0,-381500
三連単,17 → 13 → 16,3815,0,-381500
三連単,17 → 14 → 7,3815,0,-381500
三連単,17 → 14 → 9,3815,0,-381500
三連単,17 → 14 → 10,3815,0,-381500
三連単,17 → 14 → 11,3815,0,-381500
三連単,17 → 15 → 12,3815,0,-381500
三連単,17 → 16 → 13,3815,0,-381500
三連単,1 → 17 → 14,3816,0,-381600
三連単,2 → 14 → 17,3816,0,-381600
三連単,2 → 17 → 14,3816,0,-381600
三連単,3 → 14 → 17,3816,0,-381600
三連単,3 → 17 → 14,3816,0,-381600
三連単,4 → 14 → 17,3816,0,-381600
三連単,4 → 17 → 14,3816,0,-381600
三連単,5 → 14 → 17,3816,0,-381600
三連単,5 → 17 → 14,3816,0,-381600
三連単,6 → 14 → 17,3816,0,-381600
三連単,6 → 17 → 14,3816,0,-381600
三連単,8 → 14 → 17,3816,0,-381600
三連単,8 → 17 → 14,3816,0,-381600
三連単,12 → 13 → 17,3816,0,-381600
三連単,12 → 17 → 13,3816,0,-381600
三連単,13 → 12 → 17,3816,0,-381600
三連単,13 → 15 → 17,3816,0,-381600
三連単,13 → 17 → 12,3816,0,-381600
三連単,13 → 17 → 15,3816,0,-381600
三連単,14 → 1 → 17,3816,0,-381600
三連単,14 → 2 → 17,3816,0,-381600
三連単,14 → 3 → 17,3816,0,-381600
三連単,14 → 4 → 17,3816,0,-381600
三連単,14 → 5 → 17,3816,0,-381600
三連単,14 → 6 → 17,3816,0,-381600
三連単,14 → 8 → 17,3816,0,-381600
三連単,14 → 17 → 1,3816,0,-381600
三連単,14 → 17 → 2,3816,0,-381600
三連単,14 → 17 → 3,3816,0,-381600
三連単,14 → 17 → 4,3816,0,-381600
三連単,14 → 17 → 5,3816,0,-381600
三連単,14 → 17 → 8,3816,0,-381600
三連単,15 → 13 → 17,3816,0,-381600
三連単,15 → 17 → 13,3816,0,-381600
三連単,17 → 1 → 14,3816,0,-381600
三連単,17 → 2 → 14,3816,0,-381600
三連単,17 → 3 → 14,3816,0,-381600
三連単,17 → 4 → 14,3816,0,-381600
三連単,17 → 5 → 14,3816,0,-381600
三連単,17 → 6 → 14,3816,0,-381600
三連単,17 → 8 → 14,3816,0,-381600
三連単,17 → 12 → 13,3816,0,-381600
三連単,17 → 13 → 12,3816,0,-381600
三連単,17 → 13 → 15,3816,0,-381600
三連単,17 → 14 → 1,3816,0,-381600
三連単,17 → 14 → 2,3816,0,-381600
三連単,17 → 14 → 3,3816,0,-381600
三連単,17 → 14 → 4,3816,0,-381600
三連単,17 → 14 → 5,3816,0,-381600
三連単,17 → 14 → 6,3816,0,-381600
三連単,17 → 14 → 8,3816,0,-381600
三連単,17 → 15 → 13,3816,0,-381600
三連単,7 → 16 → 17,3819,0,-381900
三連単,7 → 17 → 16,3819,0,-381900
三連単,9 → 16 → 17,3819,0,-381900
三連単,9 → 17 → 16,3819,0,-381900
三連単,10 → 16 → 17,3819,0,-381900
三連単,10 → 17 → 16,3819,0,-381900
三連単,11 → 16 → 17,3819,0,-381900
三連単,11 → 17 → 16,3819,0,-381900
三連単,16 → 7 → 17,3819,0,-381900
三連単,16 → 9 → 17,3819,0,-381900
三連単,16 → 10 → 17,3819,0,-381900
三連単,16 → 11 → 17,3819,0,-381900
三連単,16 → 17 → 7,3819,0,-381900
三連単,16 → 17 → 9,3819,0,-381900
三連単,16 → 17 → 10,3819,0,-381900
三連単,16 → 17 → 11,3819,0,-381900
三連単,17 → 7 → 16,3819,0,-381900
三連単,17 → 9 → 16,3819,0,-381900
三連単,17 → 10 → 16,3819,0,-381900
三連単,17 → 11 → 16,3819,0,-381900
三連単,17 → 16 → 7,3819,0,-381900
三連単,17 → 16 → 9,3819,0,-381900
三連単,17 → 16 → 10,3819,0,-381900
三連単,17 → 16 → 11,3819,0,-381900
三連単,1 → 16 → 17,3820,0,-382000
三連単,1 → 17 → 16,3820,0,-382000
三連単,2 → 16 → 17,3820,0,-382000
三連単,2 → 17 → 16,3820,0,-382000
三連単,3 → 16 → 17,3820,0,-382000
三連単,3 → 17 → 16,3820,0,-382000
三連単,4 → 16 → 17,3820,0,-382000
三連単,4 → 17 → 16,3820,0,-382000
三連単,5 → 16 → 17,3820,0,-382000
三連単,5 → 17 → 16,3820,0,-382000
三連単,6 → 16 → 17,3820,0,-382000
三連単,6 → 17 → 16,3820,0,-382000
三連単,7 → 12 → 17,3820,0,-382000
三連単,7 → 15 → 17,3820,0,-382000
三連単,7 → 17 → 12,3820,0,-382000
三連単,7 → 17 → 15,3820,0,-382000
三連単,8 → 16 → 17,3820,0,-382000
三連単,8 → 17 → 16,3820,0,-382000
三連単,9 → 12 → 17,3820,0,-382000
三連単,9 → 15 → 17,3820,0,-382000
三連単,9 → 17 → 12,3820,0,-382000
三連単,9 → 17 → 15,3820,0,-382000
三連単,10 → 12 → 17,3820,0,-382000
三連単,10 → 15 → 17,3820,0,-382000
三連単,10 → 17 → 12,3820,0,-382000
三連単,10 → 17 → 15,3820,0,-382000
三連単,11 → 12 → 17,3820,0,-382000
三連単,11 → 15 → 17,3820,0,-382000
三連単,11 → 17 → 12,3820,0,-382000
三連単,11 → 17 → 15,3820,0,-382000
三連単,12 → 7 → 17,3820,0,-382000
三連単,12 → 9 → 17,3820,0,-382000
三連単,12 → 10 → 17,3820,0,-382000
三連単,12 → 11 → 17,3820,0,-382000
三連単,12 → 17 → 7,3820,0,-382000
三連単,12 → 17 → 9,3820,0,-382000
三連単,12 → 17 → 10,3820,0,-382000
三連単,12 → 17 → 11,3820,0,-382000
三連単,15 → 7 → 17,3820,0,-382000
三連単,15 → 9 → 17,3820,0,-382000
三連単,15 → 10 → 17,3820,0,-382000
三連単,15 → 11 → 17,3820,0,-382000
三連単,15 → 17 → 7,3820,0,-382000
三連単,15 → 17 → 9,3820,0,-382000
三連単,15 → 17 → 10,3820,0,-382000
三連単,15 → 17 → 11,3820,0,-382000
三連単,16 → 1 → 17,3820,0,-382000
三連単,16 → 2 → 17,3820,0,-382000
三連単,16 → 3 → 17,3820,0,-382000
三連単,16 → 4 → 17,3820,0,-382000
三連単,16 → 5 → 17,3820,0,-382000
三連単,16 → 6 → 17,3820,0,-382000
三連単,16 → 8 → 17,3820,0,-382000
三連単,16 → 17 → 1,3820,0,-382000
三連単,16 → 17 → 2,3820,0,-382000
三連単,16 → 17 → 3,3820,0,-382000
三連単,16 → 17 → 4,3820,0,-382000
三連単,16 → 17 → 5,3820,0,-382000
三連単,16 → 17 → 6,3820,0,-382000
三連単,16 → 17 → 8,3820,0,-382000
三連単,17 → 1 → 16,3820,0,-382000
三連単,17 → 2 → 16,3820,0,-382000
三連単,17 → 3 → 16,3820,0,-382000
三連単,17 → 4 → 16,3820,0,-382000
三連単,17 → 5 → 16,3820,0,-382000
三連単,17 → 6 → 16,3820,0,-382000
三連単,17 → 7 → 12,3820,0,-382000
三連単,17 → 7 → 15,3820,0,-382000
三連単,17 → 8 → 16,3820,0,-382000
三連単,17 → 9 → 12,3820,0,-382000
三連単,17 → 9 → 15,3820,0,-382000
三連単,17 → 10 → 12,3820,0,-382000
三連単,17 → 10 → 15,3820,0,-382000
三連単,17 → 11 → 12,3820,0,-382000
三連単,17 → 11 → 15,3820,0,-382000
三連単,17 → 12 → 7,3820,0,-382000
三連単,17 → 12 → 9,3820,0,-382000
